,Instance,Best Cost,Time
0,acg_mining/O/500/exec_kpf_1_sum_.txt,2607,"38,94986"
1,acg_mining/O/500/exec_kpf_2_sum_.txt,2614,"17,971281"
2,acg_mining/O/500/exec_kpf_3_sum_.txt,2475,"29,570776"
3,acg_mining/O/500/exec_kpf_4_sum_.txt,2536,"24,570477"
4,acg_mining/O/500/exec_kpf_5_sum_.txt,2591,"21,479301"
5,acg_mining/O/500/exec_kpf_6_sum_.txt,2593,"28,695269"
6,acg_mining/O/500/exec_kpf_7_sum_.txt,2620,"22,459068"
7,acg_mining/O/500/exec_kpf_8_sum_.txt,2545,"16,127926"
8,acg_mining/O/500/exec_kpf_9_sum_.txt,2602,"22,656071"
9,acg_mining/O/500/exec_kpf_10_sum_.txt,2547,"27,736748"
