,Instance,Best Cost,Time
0,multi_mining_lb/O/500/exec_kpf_1_sum_.txt,2626.0,"179,501358"
1,multi_mining_lb/O/500/exec_kpf_2_sum_.txt,2660.0,"148,810089"
2,multi_mining_lb/O/500/exec_kpf_3_sum_.txt,2516.0,"911,714783"
3,multi_mining_lb/O/500/exec_kpf_4_sum_.txt,2556.0,"184,570389"
4,multi_mining_lb/O/500/exec_kpf_5_sum_.txt,2625.0,"401,307831"
5,multi_mining_lb/O/500/exec_kpf_6_sum_.txt,2615.0,"156,399734"
6,multi_mining_lb/O/500/exec_kpf_7_sum_.txt,2627.0,"822,578247"
7,multi_mining_lb/O/500/exec_kpf_8_sum_.txt,2556.0,"66,909889"
8,multi_mining_lb/O/500/exec_kpf_9_sum_.txt,2613.0,"92,150139"
9,multi_mining_lb/O/500/exec_kpf_10_sum_.txt,2558.0,"668,155762"
